text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples
https_port,https_port,NOUN,NN,ROOT,False,False,1,[u'Endpoint origin specified by the following space delimited 3 tuple www example com http_port https_port The HTTP and HTTPsports are optional and will default to 80 and 443 respectively ']
dynamic,dynamic,NOUN,NNS,dobj,True,False,1,[u'Create a rule in a route filter to allow Dynamics 365 ']
contoso,contoso,NOUN,NN,compound,True,False,2,[u'user principal name e g john doe contoso com', u'The user principal name someuser contoso com It must contain one of the verified domains for the tenant ']
suspend,suspend,VERB,VB,ROOT,True,False,1,[u'Suspend or terminate a currently running job ']
concurrency,concurrency,NOUN,NN,pobj,True,False,4,[u' The client may specify the ETag for the entity on the request in order to compare to the ETag maintained by the service for the purpose of optimistic concurrency The update operation will be performed only if the ETag sent by the client matches the value maintained by the server indicating that the entity has not been modified since it was retrieved by the client To force an unconditional update set If Match to the wildcard character ', u' The client may specify the ETag for the entity on the request in order to compare to the ETag maintained by the service for the purpose of optimistic concurrency The merge operation will be performed only if the ETag sent by the client matches the value maintained by the server indicating that the entity has not been modified since it was retrieved by the client To force an unconditional merge set If Match to the wildcard character ']
affect,affect,VERB,VBN,ROOT,True,False,6,[u'Starts a rolling upgrade to move all virtual machine scale set instances to the latest available Platform Image OS version Instances which are already running the latest available OS version are not affected ', u'A list of application packages to be installed on each compute node in the pool Changes to application package references affect all new compute nodes joining the pool but do not affect compute nodes that are already in the pool until they are rebooted or reimaged If this element is present it replaces any existing application package references If you specify an empty collection then all application package references are removed from the pool If omitted any existing application package references are left unchanged Space separated application IDs with optional version in id version format ']
digest,digest,VERB,VB,conj,True,False,4,[u'The name of the image to delete May include a tag in the format name tag or digest in the format name digest ', u'The name of the image to delete May include a tag in the format name tag or digest in the format name digest ']
before,before,ADP,IN,prep,True,False,69,[u'A list of files that the Batch service will download to the compute node before running the command line Files listed under this element are located in the task s working directory Space separated resource references in filename blobsource format ', u'The number of items to skip over before returning elements ']
cli,cli,PROPN,NNP,dobj,True,False,27,[u'Place the CLI in a waiting state until a deployment condition is met ', u'Place the CLI in a waiting state until a condition of the ExpressRoute is met ']
fix,fix,VERB,VBN,amod,True,False,5,[u' For a break operation this is the proposed duration of seconds that the lease should continue before it is broken between 0 and 60 seconds This break period is only used if it is shorter than the time remaining on the lease If longer the time remaining on the lease is used A new lease will not be available before the break period has expired but the lease may be held for longer than the break period If this header does not appear with a break operation a fixed duration lease breaks after the remaining lease period elapses and an infinite lease breaks immediately ', u'Create a fixed or recurring autoscale profile ']
terminatejob,terminatejob,NOUN,NN,acomp,True,False,8,[u'The action the Batch service should take when all tasks in the job are in the completed state If omitted the completion behavior is set to noaction If the current value is terminatejob this is an error because a job s completion behavior may not be changed from terminatejob to noaction You may not change the value from terminatejob to noaction that is once you have engaged automatic job termination you cannot turn it off again If you try to do this the request fails and Batch returns status code 400 Bad Request and an invalid property value error response If you do not specify this element in a PUT request it is equivalent to passing noaction This is an error if the current value is terminatejob ', u'The action the Batch service should take when all tasks in the job are in the completed state If omitted the completion behavior is set to noaction If the current value is terminatejob this is an error because a job s completion behavior may not be changed from terminatejob to noaction You may not change the value from terminatejob to noaction that is once you have engaged automatic job termination you cannot turn it off again If you try to do this the request fails and Batch returns status code 400 Bad Request and an invalid property value error response If you do not specify this element in a PUT request it is equivalent to passing noaction This is an error if the current value is terminatejob ']
standardblob,standardblob,PROPN,NNP,compound,True,False,4,[u'The access tier used for billing StandardBlob accounts Cannot be set for StandardLRS StandardGRS StandardRAGRS or PremiumLRS account types It is required for StandardBlob accounts during creation', u'The access tier used for billing StandardBlob accounts Cannot be set for StandardLRS StandardGRS StandardRAGRS or PremiumLRS account types It is required for StandardBlob accounts during creation']
production,production,NOUN,NNS,compound,True,False,53,[u'the name of the slot Default to the productions slot if not specified', u'the name of the slot Default to the productions slot if not specified']
pt1,pt1,NOUN,NN,compound,False,False,1,[u'The interval of the metric query In ISO 8601 duration format eg PT1M ']
400,400,NUM,CD,nummod,False,False,18,[u'The action the Batch service should take when all tasks in the job are in the completed state If omitted the completion behavior is set to noaction If the current value is terminatejob this is an error because a job s completion behavior may not be changed from terminatejob to noaction You may not change the value from terminatejob to noaction that is once you have engaged automatic job termination you cannot turn it off again If you try to do this the request fails and Batch returns status code 400 Bad Request and an invalid property value error response If you do not specify this element in a PUT request it is equivalent to passing noaction This is an error if the current value is terminatejob ', u'The SSH public key that can be used for remote login to the compute node The public key should be compatible with OpenSSH encoding and should be base 64 encoded This property can be specified only for Linux nodes If this is specified for a Windows node then the Batch service rejects the request if you are calling the REST API directly the HTTP status code is 400 Bad Request ']
jobinfo,jobinfo,PROPN,NNP,compound,True,False,2,[u'JobInfo ID ', u'JobInfo ID to cancel ']
get_blob_propertie,get_blob_propertie,NOUN,NNS,dobj,False,False,2,[u'Copies a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for a copy operation may be a block blob an append blob or a page blob If the destination blob already exists it must be of the same blob type as the source blob Any existing destination blob will be overwritten The destination blob cannot be modified while a copy operation is in progress When copying from a page blob the Blob service creates a destination page blob of the source blob s length initially containing all zeroes Then the source page ranges are enumerated and non empty ranges are copied For a block blob or an append blob the Blob service creates a committed blob of zero length before returning from this operation When copying from a block blob all committed blocks and their block IDs are copied Uncommitted blocks are not copied At the end of the copy operation the destination blob will have the same committed block count as the source When copying from an append blob all committed blocks are copied At the end of the copy operation the destination blob will have the same committed block count as the source For all blob types you can call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ', u'Copies an incremental copy of a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for an incremental copy operation must be a page blob Call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ']
409,409,NUM,CD,nummod,False,False,4,[u'Deletes a job Deleting a job also deletes all tasks that are part of that job and all job statistics This also overrides the retention period for task data that is if the job contains tasks which are still retained on compute nodes the Batch services deletes those tasks working directories and all their contents When a Delete Job request is received the Batch service sets the job to the deleting state All update operations on a job that is in deleting state will fail with status code 409 Conflict with additional information indicating that the job is being deleted ', u'Disables the specified job preventing new tasks from running The Batch Service immediately moves the job to the disabling state Batch then uses the disableTasks parameter to determine what to do with the currently running tasks of the job The job remains in the disabling state until the disable operation is completed and all tasks have been dealt with according to the disableTasks option the job then moves to the disabled state No new tasks are started under the job until it moves back to active state If you try to disable a job that is in any state other than active disabling or disabled the request fails with status code 409 ']
then,then,ADV,RB,advmod,True,False,52,[u'The maximum number of times each task may be retried The Batch service retries a task if its exit code is nonzero Note that this value specifically controls the number of retries The Batch service will try each task once and may then retry up to this limit For example if the maximum retry count is 3 Batch tries a task up to 4 times one initial try and 3 retries If the maximum retry count is 0 the Batch service does not retry tasks If the maximum retry count is 1 the Batch service retries tasks without limit The default value is 0 no retries ', u'The maximum number of times each task may be retried The Batch service retries a task if its exit code is nonzero Note that this value specifically controls the number of retries The Batch service will try each task once and may then retry up to this limit For example if the maximum retry count is 3 Batch tries a task up to 4 times one initial try and 3 retries If the maximum retry count is 0 the Batch service does not retry tasks If the maximum retry count is 1 the Batch service retries tasks without limit The default value is 0 no retries ']
combination,combination,NOUN,NN,dobj,True,False,8,[u'A string that uniquely identifies the job within the account The ID can contain any combination of alphanumeric characters including hyphens and underscores and cannot contain more than 64 characters The ID is case preserving and case insensitive that is you may not have two IDs within an account that differ only by case ', u'A string that uniquely identifies the Job Manager task within the job The ID can contain any combination of alphanumeric characters including hyphens and underscores and cannot contain more than 64 characters ']
break,break,VERB,VBZ,ROOT,True,False,30,[u'Breaks the lease if the blob has an active lease Once a lease is broken it cannot be renewed Any authorized request can break the lease the request is not required to specify a matching lease ID When a lease is broken the lease break period is allowed to elapse during which time no lease operation except break and release can be performed on the blob When a lease is successfully broken the response indicates the interval in seconds until a new lease can be acquired A lease that has been broken can also be released in which case another client may immediately acquire the lease on the blob ', u'Breaks the lease if the blob has an active lease Once a lease is broken it cannot be renewed Any authorized request can break the lease the request is not required to specify a matching lease ID When a lease is broken the lease break period is allowed to elapse during which time no lease operation except break and release can be performed on the blob When a lease is successfully broken the response indicates the interval in seconds until a new lease can be acquired A lease that has been broken can also be released in which case another client may immediately acquire the lease on the blob ']
9,9,NUM,CD,pobj,False,False,1,[u'Set the default NodeJS version to 6 9 1 for a web app ']
napshot,napshot,NOUN,NNS,nsubj,True,False,1,[u'Specifies additional datasets to include c opy info m etadata s napshots d eleted soft Can be combined ']
mgmt,mgmt,NOUN,NN,compound,True,False,3,[u'A path to a json file containing file server create parameters json representation of azure mgmt batchai models FileServerCreateParameters Note parameters given via command line will overwrite parameters specified in the configuration file ', u'A path to a json file containing job create parameters json representation of azure mgmt batchai models JobCreateParameters ']
nested,nested,ADJ,JJ,amod,True,False,3,[u'Get latest policy states for a nested resource using resource name ', u'Location of the external or nested endpoints when using the Performance routing method ']
silver,silver,NOUN,NN,pobj,True,False,2,[u'Change the cluster reliability level to Silver ', u'Change the cluster durability level to Silver ']
changelog,changelog,NOUN,NNS,ROOT,True,False,1,[u'List changelogs for role assignments ']
unregister,unregister,VERB,VB,ROOT,True,False,2,[u'Unregister a cloud ', u'Unregister a provider ']
queues,queues,PROPN,NNP,dobj,True,False,1,[u'Get the Queues by Service Bus Namespace ']
l,l,NOUN,NN,compound,True,False,8,[u'Allowed values d elete l ist r ead w rite Can be combined', u'Allowed values d elete l ist r ead w rite Can be combined']
asg,asg,NOUN,NNS,dobj,True,False,1,[u'Manage application security groups ASGs ']
timeout,timeout,NOUN,NN,ROOT,True,False,139,[u'Request timeout in seconds Applies to each call to the service ', u'Request timeout in seconds Applies to each call to the service ']
each,each,DET,DT,det,True,False,170,[u'Request timeout in seconds Applies to each call to the service ', u'The maximum number of times each task may be retried The Batch service retries a task if its exit code is nonzero Note that this value specifically controls the number of retries The Batch service will try each task once and may then retry up to this limit For example if the maximum retry count is 3 Batch tries a task up to 4 times one initial try and 3 retries If the maximum retry count is 0 the Batch service does not retry tasks If the maximum retry count is 1 the Batch service retries tasks without limit The default value is 0 no retries ']
debug,debug,VERB,VBG,pcomp,True,False,2,[u'Upload Azure Batch service log files from the specified compute node to Azure Blob Storage This is for gathering Azure Batch service log files in an automated fashion from nodes if you are experiencing an error and wish to escalate to Azure support The Azure Batch service log files should be shared with Azure support to aid in debugging issues with the Batch service ', u'enable or disable remote debugging']
side,side,NOUN,NN,npadvmod,True,False,10,[u'Value that indicates whether server side batched operations are enabled ', u'Value that indicates whether server side batched operations are enabled ']
mean,mean,VERB,VBZ,ROOT,True,False,12,[u'The end of the time range from which to upload Batch Service log file s Any log file containing a log message in the time range will be uploaded This means that the operation might retrieve more logs than have been requested since the entire log file is always uploaded but the operation should not retrieve fewer logs than have been requested If omitted the default is to upload all logs available after the startTime Expected format is an ISO 8601 timestamp ', u'The start of the time range from which to upload Batch Service log file s Any log file containing a log message in the time range will be uploaded This means that the operation might retrieve more logs than have been requested since the entire log file is always uploaded but the operation should not retrieve fewer logs than have been requested Expected format is an ISO 8601 timestamp ']
adpassword,adpassword,PROPN,NNP,compound,True,False,2,[u'The authentication type Possible values include SQL ADPassword Default value SQL ', u'The authentication type Possible values include SQL ADPassword Default value SQL ']
logs,logs,NOUN,NN,compound,True,False,3,[u'JSON encoded list of logs settings Use file to load from a file ', u'A file containing the upload batch service logs configuration specification in JSON format If this parameter is specified all Upload Batch Service Logs Configuration Arguments are ignored ']
durability,durability,NOUN,NN,dobj,True,False,5,[u'Manage the durability of a cluster ', u'durability level ']
nt1,nt1,NOUN,NN,advmod,False,False,2,[u'Remove 2 nt1 nodes from a cluster ', u'Add 2 nt1 nodes to a cluster ']
series,series,NOUN,NN,appos,True,False,3,[u'The size of virtual machines in the pool All virtual machines in a pool are the same size For information about available sizes of virtual machines for Cloud Services pools pools created with cloudServiceConfiguration see Sizes for Cloud Services https azure microsoft com documentation articles cloud services sizes specs Batch supports all Cloud Services VM sizes except ExtraSmall A1V2 and A2V2 For information about available VM sizes for pools using images from the Virtual Machines Marketplace pools created with virtualMachineConfiguration see Sizes for Virtual Machines Linux https azure microsoft com documentation articles virtual machines linux sizes or Sizes for Virtual Machines Windows https azure microsoft com documentation articles virtual machines windows sizes Batch supports all Azure VM sizes except STANDARD_A0 and those with premium storage STANDARD_GS STANDARD_DS and STANDARD_DSV2 series ', u'List success E2E latency of a storage account and split the data series based on both API name and geo type']
overwritt,overwritt,VERB,VBG,xcomp,True,False,17,[u'The etag of the record set Omit this value to always overwrite the current record set Specify the last seen etag value to prevent accidentally overwritting any concurrent changes ', u'The etag of the record set Omit this value to always overwrite the current record set Specify the last seen etag value to prevent accidentally overwritting any concurrent changes ']
serverfor,serverfor,NOUN,NNS,compound,True,False,2,[u'Generate and assign an Azure Active Directory Identity for this serverfor use with key management services like Azure KeyVault ', u'Generate and assign an Azure Active Directory Identity for this serverfor use with key management services like Azure KeyVault ']
publically,publically,ADV,RB,advmod,True,False,2,[u'Specifies whether data in the container may be accessed publically By default container data is private off to the account owner Use blob to allow public read access for blobs Use container to allow public read and list access to the entire container ', u'Specifies whether data in the container may be accessed publically By default container data is private off to the account owner Use blob to allow public read access for blobs Use container to allow public read and list access to the entire container ']
extract,extract,VERB,VBN,amod,True,False,1,[u'Whether to perform a quick and intelligent query analysis by retrieving queries from the source database and executing them in the target The result will have execution statistics for executions in source and target databases for the extracted queries ']
array,array,NOUN,NN,dobj,True,False,2,[u'JSON encoded array of artifacts to be applied Use file to load from a file ', u'JSON encoded array of artifacts to be applied Use file to load from a file ']
overwrite,overwrite,VERB,VBZ,relcl,True,False,62,[u'Metadata in space separated key value pairs This overwrites any existing metadata ', u'Metadata in space separated key value pairs This overwrites any existing metadata ']
network,network,NOUN,NN,pobj,True,False,247,[u'Check if a private IP address is available for use within a virtual network ', u'The virtual network VNet name ']
cloudserviceconfiguration,cloudserviceconfiguration,NOUN,NN,pobj,True,False,4,[u'The password of the account The password is required for Windows nodes those created with cloudServiceConfiguration or created with virtualMachineConfiguration using a Windows image reference For Linux compute nodes the password can optionally be specified along with the sshPublicKey property ', u'Upgrades the operating system of the specified pool During an upgrade the Batch service upgrades each compute node in the pool When a compute node is chosen for upgrade any tasks running on that node are removed from the node and returned to the queue to be rerun later or on a different compute node The node will be unavailable until the upgrade is complete This operation results in temporarily reduced pool capacity as nodes are taken out of service to be upgraded Although the Batch service tries to avoid upgrading all compute nodes at the same time it does not guarantee to do this particularly on small pools therefore the pool may be temporarily unavailable to run tasks When this operation runs the pool state changes to upgrading When all compute nodes have finished upgrading the pool state returns to active While the upgrade is in progress the pool s currentOSVersion reflects the OS version that nodes are upgrading from and targetOSVersion reflects the OS version that nodes are upgrading to Once the upgrade is complete currentOSVersion is updated to reflect the OS version now running on all nodes This operation can only be invoked on pools created with the cloudServiceConfiguration property ']
content,content,ADJ,JJ,compound,True,False,97,[u'Content type of message ', u' Response header value for Content Disposition when resource is accessed using this shared access signature ']
method,method,NOUN,NN,ROOT,True,False,24,[u'IP address allocation method', u'Adds a new message to the back of the message queue The visibility timeout specifies the time that the message will be invisible After the timeout expires the message will become visible If a visibility timeout is not specified the default value of 0 is used The message time to live specifies how long a message will remain in the queue The message will be deleted from the queue when the time to live period expires If the key encryption key field is set on the local service object this method will encrypt the content before uploading ']
assignment,assignment,NOUN,NN,pobj,True,False,49,[u'Name of policy assignment ', u'Get policy events for a policy assignment in current subscription ']
524288000,524288000,NUM,CD,nummod,False,False,2,[u'Defines the amount of data built up in your Event Hub before an capture operation value should be between 10485760 to 524288000 bytes', u'Defines the amount of data built up in your Event Hub before an capture operation value should be between 10485760 to 524288000 bytes']
newly,newly,ADV,RB,advmod,True,False,2,[u'Globally unique DNS name for a newly created public IP ', u'Globally unique DNS name for a newly created public IP ']
smb,smb,PROPN,NNP,nmod,True,False,2,[u'Upload a file to a share that uses the SMB 3 0 protocol ', u'Manage file shares that use the SMB 3 0 protocol ']
az_batchai_job_mount_root,az_batchai_job_mount_root,PROPN,NNP,amod,False,False,3,[u'Relative mount path for Azure Storage Blob Container The container will be available at AZ_BATCHAI_JOB_MOUNT_ROOT relative_mount_path folder ', u'Relative mount path for NFS The NFS will be available at AZ_BATCHAI_JOB_MOUNT_ROOT relative_mount_path folder ']
starttime,starttime,NOUN,NN,pobj,True,False,2,[u'Lists the usage metrics aggregated by pool across individual time intervals for the specified account If you do not specify a filter clause including a poolId the response includes all pools that existed in the account in the time range of the returned aggregation intervals If you do not specify a filter clause including a startTime or endTime these filters default to the start and end times of the last aggregation interval currently available that is only the last aggregation interval is returned ', u'The end of the time range from which to upload Batch Service log file s Any log file containing a log message in the time range will be uploaded This means that the operation might retrieve more logs than have been requested since the entire log file is always uploaded but the operation should not retrieve fewer logs than have been requested If omitted the default is to upload all logs available after the startTime Expected format is an ISO 8601 timestamp ']
love,love,VERB,VBG,ROOT,True,False,1,[u'Loving or hating the CLI Let us know ']
associate,associate,VERB,VBN,ROOT,True,False,167,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'A list of name value pairs associated with the job as metadata The Batch service does not assign any meaning to metadata it is solely for the use of user code Space separated values in key value format ']
free,free,PROPN,NNP,compound,True,False,9,[u'The pricing tiers e g F1 Free D1 Shared B1 Basic Small B2 Basic Medium B3 Basic Large S1 Standard Small P1 Premium Small P1V2 Premium V2 Small etc', u'List all free tier App Service plans ']
standard,standard,ADJ,JJ,compound,True,False,20,[u'Create a database with performance level S0 as a secondary replica of an existing Standard database ', u'The pricing tiers e g F1 Free D1 Shared B1 Basic Small B2 Basic Medium B3 Basic Large S1 Standard Small P1 Premium Small P1V2 Premium V2 Small etc']
appgwsslpolicy20170401s,appgwsslpolicy20170401s,ADP,IN,dobj,False,False,1,[u'Name of Ssl predefined policy Possible values include AppGwSslPolicy20150501 AppGwSslPolicy20170401 AppGwSslPolicy20170401S ']
elsewhere,elsewhere,ADV,RB,advmod,True,False,1,[u'An opaque string representing the location of a compute node or a task that has run previously You can pass the affinityId of a compute node to indicate that this task needs to run on that compute node Note that this is just a soft affinity If the target node is busy or unavailable at the time the task is scheduled then the task will be scheduled elsewhere ']
collation,collation,NOUN,NN,ROOT,True,False,8,[u'The collation of the database ', u'The collation of the Azure SQL Managed Database collation to use e g SQL_Latin1_General_CP1_CI_AS or Latin1_General_100_CS_AS_SC']
az_batchai_mount_root,az_batchai_mount_root,PROPN,NNP,compound,False,False,5,[u'If provided the command will create a storage account in a new or existing resource group named batchaiautostorage It will also create Azure File Share with name batchaishare Azure Blob Container with name batchaicontainer The File Share and Blob Container will be mounted on each cluster node at AZ_BATCHAI_MOUNT_ROOT autoafs and AZ_BATCHAI_MOUNT_ROOT autobfs If the resource group already exists and contains an approapriate storage account belonging to the same region as cluster this command will reuse existing storage account ', u'If provided the command will create a storage account in a new or existing resource group named batchaiautostorage It will also create Azure File Share with name batchaishare Azure Blob Container with name batchaicontainer The File Share and Blob Container will be mounted on each cluster node at AZ_BATCHAI_MOUNT_ROOT autoafs and AZ_BATCHAI_MOUNT_ROOT autobfs If the resource group already exists and contains an approapriate storage account belonging to the same region as cluster this command will reuse existing storage account ']
md5,md5,PROPN,NNP,compound,False,False,20,[u'Specifies that an MD5 hash shall be calculated for each chunk of the blob and verified by the service when the chunk has arrived ', u'The content s MD5 hash ']
r2,r2,PROPN,NNP,nmod,False,False,3,[u'The Azure Guest OS family to be installed on the virtual machines in the pool Possible values are 2 OS Family 2 equivalent to Windows Server 2008 R2 SP1 3 OS Family 3 equivalent to Windows Server 2012 4 OS Family 4 equivalent to Windows Server 2012 R2 5 OS Family 5 equivalent to Windows Server 2016 For more information see Azure Guest OS Releases https azure microsoft com documentation articles cloud services guestos update matrix releases ', u'The Azure Guest OS family to be installed on the virtual machines in the pool Possible values are 2 OS Family 2 equivalent to Windows Server 2008 R2 SP1 3 OS Family 3 equivalent to Windows Server 2012 4 OS Family 4 equivalent to Windows Server 2012 R2 5 OS Family 5 equivalent to Windows Server 2016 For more information see Azure Guest OS Releases https azure microsoft com documentation articles cloud services guestos update matrix releases ']
created,created,VERB,VB,xcomp,True,False,1,[u'used to created a new public ip for the load balancer a k a public facing Load balancer']
openssh,openssh,NOUN,NN,det,True,False,2,[u'The SSH public key that can be used for remote login to the compute node The public key should be compatible with OpenSSH encoding and should be base 64 encoded This property can be specified only for Linux nodes If this is specified for a Windows node then the Batch service rejects the request if you are calling the REST API directly the HTTP status code is 400 Bad Request ', u'The SSH public key that can be used for remote login to the compute node The public key should be compatible with OpenSSH encoding and should be base 64 encoded This property can be specified only for Linux nodes If this is specified for a Windows node then the Batch service rejects the request if you are calling the REST API directly the HTTP status code is 400 Bad Request If omitted any existing SSH public key is removed ']
sshpublickey,sshpublickey,ADJ,JJ,amod,True,False,2,[u'The password of the account The password is required for Windows nodes those created with cloudServiceConfiguration or created with virtualMachineConfiguration using a Windows image reference For Linux compute nodes the password can optionally be specified along with the sshPublicKey property ', u'The password of the account The password is required for Windows nodes those created with cloudServiceConfiguration or created with virtualMachineConfiguration using a Windows image reference For Linux compute nodes the password can optionally be specified along with the sshPublicKey property If omitted any existing password is removed ']
openssl,openssl,NOUN,NN,pobj,True,False,1,[u'Download a certificate as PEM and check its fingerprint in openssl ']
ist,ist,X,FW,npadvmod,True,False,6,[u'Allowed values d elete l ist r ead w rite Can be combined', u'Allowed values d elete l ist r ead w rite Can be combined']
filter,filter,NOUN,NN,compound,True,False,153,[u'Filter results based on UTC hour offset ', u'Filter expression using OData notation ']
ukw,ukw,ADJ,JJS,amod,True,False,13,[u'Feature in preview only in canadacentral canadaeast centralindia koreasouth koreacentral southindia uksouth ukwest westcentralus westindia westus2 Use API version of ACS to perform az acs operations Available options 2017 01 31 2017 07 01 Default the latest version for the location', u'Feature in preview only in canadacentral canadaeast centralindia koreasouth koreacentral southindia uksouth ukwest westcentralus westindia westus2 The disk size for master pool vms Unit in GB Default corresponding vmsize disk size']
renew,renew,VERB,VBZ,ROOT,True,False,14,[u'Renews the lease The lease can be renewed if the lease ID specified on the request matches that associated with the blob Note that the lease may be renewed even if it has expired as long as the blob has not been modified or leased again since the expiration of that lease When you renew a lease the lease duration clock resets ', u'Renews the lease The lease can be renewed if the lease ID specified on the request matches that associated with the blob Note that the lease may be renewed even if it has expired as long as the blob has not been modified or leased again since the expiration of that lease When you renew a lease the lease duration clock resets ']
iso,iso,NOUN,NN,nmod,True,False,57,[u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ', u'ISO 8601 formatted timestamp specifying the start time of the interval to query ']
isn,isn,VERB,VBZ,aux,True,False,2,[u' An ETag value or the wildcard character Specify an ETag value for this conditional header to copy the blob only if the specified ETag value does not match the ETag value for the destination blob Specify the wildcard character to perform the operation only if the destination blob does not exist If the specified condition isn t met the Blob service returns status code 412 Precondition Failed ', u' An ETag value or the wildcard character Specify an ETag value for this conditional header to copy the blob only if the specified ETag value does not match the ETag value for the destination blob Specify the wildcard character to perform the operation only if the destination blob does not exist If the specified condition isn t met the Blob service returns status code 412 Precondition Failed ']
signature,signature,NOUN,NN,compound,True,False,181,[u'A Shared Access Signature SAS Must be used in conjunction with storage account name Environment variable AZURE_STORAGE_SAS_TOKEN', u'A Shared Access Signature SAS Must be used in conjunction with storage account name Environment variable AZURE_STORAGE_SAS_TOKEN']
mystorage,mystorage,NOUN,NN,compound,True,False,1,[u'Virtual hard disk URI For example https mystorage blob core windows net vhds d1 vhd']
purpose,purpose,NOUN,NN,pobj,True,False,4,[u' The client may specify the ETag for the entity on the request in order to compare to the ETag maintained by the service for the purpose of optimistic concurrency The update operation will be performed only if the ETag sent by the client matches the value maintained by the server indicating that the entity has not been modified since it was retrieved by the client To force an unconditional update set If Match to the wildcard character ', u' The client may specify the ETag for the entity on the request in order to compare to the ETag maintained by the service for the purpose of optimistic concurrency The merge operation will be performed only if the ETag sent by the client matches the value maintained by the server indicating that the entity has not been modified since it was retrieved by the client To force an unconditional merge set If Match to the wildcard character ']
already,already,ADV,RB,advmod,True,False,41,[u'Create the record set only if it does not already exist ', u'Create the record set only if it does not already exist ']
backup,backup,NOUN,NNS,ROOT,True,False,85,[u'List backups of a web app ', u'Manage protection of your items enable protection or disable it or take on demand backups ']
virtualmachine,virtualmachine,NOUN,NNS,appos,True,False,22,[u'scope at which the role assignment or definition applies to e g subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 resourceGroups myGroup or subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 resourceGroups myGroup providers Microsoft Compute virtualMachines myVM', u'scope at which this policy assignment applies to e g subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 resourceGroups myGroup or subscriptions 0b1f6471 1bf0 4dda aec3 111122223333 resourceGroups myGroup providers Microsoft Compute virtualMachines myVM']
primary,primary,ADJ,JJ,amod,True,False,65,[u'Show the connection string of an IoT hub using default policy and primary key ', u'Deletes a task from the specified job When a task is deleted all of the files in its directory on the compute node where it ran are also deleted regardless of the retention time For multi instance tasks the delete task operation applies synchronously to the primary task subtasks and their files are then deleted asynchronously in the background ']
restrict,restrict,VERB,VB,xcomp,True,False,10,[u'A query filter to use to restrict the results ', u'Restricts the set of items returned ']
another,another,DET,DT,det,True,False,14,[u' A URL of up to 2 KB in length that specifies an Azure file or blob The value should be URL encoded as it would appear in a request URI If the source is in another account the source must either be public or must be authenticated via a shared access signature If the source is public no authentication is required Examples https myaccount file core windows net myshare mydir myfile https otheraccount file core windows net myshare mydir myfile sastoken', u'Release the lease The lease may be released if the lease_id specified matches that associated with the container Releasing the lease allows another client to immediately acquire the lease for the container as soon as the release is complete ']
enumerate,enumerate,VERB,VBZ,ROOT,True,False,7,[u'Enumerates the possible values for the status of a messaging entity ', u' An opaque continuation token This value can be retrieved from the next_marker field of a previous generator object if num_results was specified and that generator has finished enumerating results If specified this generator will begin returning results from the point where the previous generator stopped ']
payload,payload,NOUN,NN,dobj,True,False,9,[u'Conveys additional information about how to process the response payload and can also be used to attach additional metadata ', u' Specifies the accepted content type of the response payload See class azure storage table models TablePayloadFormat for possible values ']
service,service,NOUN,NN,pobj,True,False,909,[u'Request timeout in seconds Applies to each call to the service ', u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ']
top,top,ADJ,JJ,amod,True,False,4,[u'Get top 5 policy events in current subscription selecting a subset of properties and customizing ordering ', u'the top odata query option']
certificatestore,certificatestore,NOUN,NN,compound,True,False,2,[u'One or many Key Vault secrets as JSON strings or files via file path containing sourceVault id value vaultCertificates certificateUrl value certificateStore cert store name only on windows ', u'One or many Key Vault secrets as JSON strings or files via file path containing sourceVault id value vaultCertificates certificateUrl value certificateStore cert store name only on windows ']
master,master,NOUN,NN,compound,True,False,6,[u'Feature in preview only in canadacentral canadaeast centralindia koreasouth koreacentral southindia uksouth ukwest westcentralus westindia westus2 The disk size for master pool vms Unit in GB Default corresponding vmsize disk size', u'Feature in preview only in canadacentral canadaeast centralindia koreasouth koreacentral southindia uksouth ukwest westcentralus westindia westus2 The file or dictionary representation of the master profile Note it will override any master settings once set']
underlie,underlie,VERB,VBG,amod,True,False,3,[u'Underlying storage SKU ', u'Underlying storage SKU ']
