text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples
peek_message,peek_message,NOUN,NNS,pobj,False,False,1,[u'Retrieves one or more messages from the front of the queue but does not alter the visibility of the message Only messages that are visible may be retrieved When a message is retrieved for the first time with a call to get_messages its dequeue_count property is set to 1 If it is not deleted and is subsequently retrieved again the dequeue_count property is incremented The client may use this value to determine how many times a message has been retrieved Note that a call to peek_messages does not increment the value of DequeueCount but returns this value for the client to read If the key encryption key or resolver field is set on the local service object the messages will be decrypted before being returned ']
azureconflicthttperror,azureconflicthttperror,PROPN,NNP,nsubjpass,True,False,2,[u'Deletes the specified table and any data it contains When a table is successfully deleted it is immediately marked for deletion and is no longer accessible to clients The table is later removed from the Table service during garbage collection Note that deleting a table is likely to take at least 40 seconds to complete If an operation is attempted against the table while it was being deleted an class AzureConflictHttpError will be thrown ', u'Deletes the specified queue and any messages it contains When a queue is successfully deleted it is immediately marked for deletion and is no longer accessible to clients The queue is later removed from the Queue service during garbage collection Note that deleting a queue is likely to take at least 40 seconds to complete If an operation is attempted against the queue while it was being deleted an class AzureConflictHttpError will be thrown ']
purgeable,purgeable,PROPN,NNP,nsubj,True,False,1,[u'Permanently deletes the specified deleted certificate The PurgeDeletedCertificate operation performs an irreversible deletion of the specified certificate without possibility for recovery The operation is not available if the recovery level does not specify Purgeable Requires the explicit granting of the purge permission ']
getcertificatecontacts,getcertificatecontacts,PROPN,NNPS,compound,True,False,1,[u'Lists the certificate contacts for a specified key vault The GetCertificateContacts operation returns the set of certificate contact resources in the specified key vault ']
least,least,ADV,RBS,advmod,True,False,2,[u'Deletes the specified table and any data it contains When a table is successfully deleted it is immediately marked for deletion and is no longer accessible to clients The table is later removed from the Table service during garbage collection Note that deleting a table is likely to take at least 40 seconds to complete If an operation is attempted against the table while it was being deleted an class AzureConflictHttpError will be thrown ', u'Deletes the specified queue and any messages it contains When a queue is successfully deleted it is immediately marked for deletion and is no longer accessible to clients The queue is later removed from the Queue service during garbage collection Note that deleting a queue is likely to take at least 40 seconds to complete If an operation is attempted against the queue while it was being deleted an class AzureConflictHttpError will be thrown ']
frontend,frontend,NOUN,NN,compound,True,False,18,[u'Update a frontend IP address ', u'List frontend ports ']
feedback,feedback,NOUN,NN,dobj,True,False,1,[u'Queues a quick docker build providing interactive feedback ']
portion,portion,NOUN,NN,dobj,True,False,1,[u'Download the public portion of a Key Vault certificate ']
disables,disables,PROPN,NNP,ROOT,True,False,1,[u'Disables Service Bus Geo Disaster Recovery Configuration Alias and stops replicating changes from primary to secondary namespaces']
hierarchy,hierarchy,NOUN,NN,dobj,True,False,1,[u'Get the default geographic hierarchy used by the geographic traffic routing method ']
ping,ping,NOUN,NN,compound,True,False,1,[u'Trigger a ping event for a webhook ']
over,over,PART,RP,prt,True,False,1,[u'Set the primary replica database by failing over from the current primary replica database ']
move,move,NOUN,NNS,compound,True,False,9,[u'Moves resources from one resource group to another can be under different subscription ', u'Starts a rolling upgrade to move all virtual machine scale set instances to the latest available Platform Image OS version Instances which are already running the latest available OS version are not affected ']
soon,soon,ADV,RB,advmod,True,False,2,[u'Release the lease The lease may be released if the lease_id specified matches that associated with the container Releasing the lease allows another client to immediately acquire the lease for the container as soon as the release is complete ', u'Releases the lease The lease may be released if the lease ID specified on the request matches that associated with the blob Releasing the lease allows another client to immediately acquire the lease for the blob as soon as the release is complete ']
vmss,vmss,PROPN,NNP,ROOT,True,False,25,[u'List VMSS ', u'Add an extension to a VMSS or update an existing extension ']
disabled,disabled,ADJ,JJ,advcl,True,False,5,[u'Enables task scheduling on the specified compute node You can enable task scheduling on a node only if its current scheduling state is disabled ', u'Enables automatic scaling for a pool You cannot enable automatic scaling on a pool if a resize operation is in progress on the pool If automatic scaling of the pool is currently disabled you must specify a valid autoscale formula as part of the request If automatic scaling of the pool is already enabled you may specify a new autoscale formula and or a new evaluation interval You cannot call this API for the same pool more than once every 30 seconds ']
suspend,suspend,VERB,VB,ROOT,True,False,1,[u'Suspend or terminate a currently running job ']
through,through,ADP,IN,prep,True,False,6,[u'Lists the available billing periods for a subscription in reverse chronological order This is only supported for Azure Web Direct subscriptions Other subscription types which were not purchased directly through the Azure web portal are not supported through this preview API ', u'Lists the available billing periods for a subscription in reverse chronological order This is only supported for Azure Web Direct subscriptions Other subscription types which were not purchased directly through the Azure web portal are not supported through this preview API ']
overriden,overriden,VERB,VBN,ROOT,True,False,2,[u'Sets system properties on the blob If one property is set for the content_settings all properties will be overriden ', u'Sets system properties on the file If one property is set for the content_settings all properties will be overriden ']
committed,committed,ADJ,JJ,amod,True,False,4,[u'Copies a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for a copy operation may be a block blob an append blob or a page blob If the destination blob already exists it must be of the same blob type as the source blob Any existing destination blob will be overwritten The destination blob cannot be modified while a copy operation is in progress When copying from a page blob the Blob service creates a destination page blob of the source blob s length initially containing all zeroes Then the source page ranges are enumerated and non empty ranges are copied For a block blob or an append blob the Blob service creates a committed blob of zero length before returning from this operation When copying from a block blob all committed blocks and their block IDs are copied Uncommitted blocks are not copied At the end of the copy operation the destination blob will have the same committed block count as the source When copying from an append blob all committed blocks are copied At the end of the copy operation the destination blob will have the same committed block count as the source For all blob types you can call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ', u'Copies a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for a copy operation may be a block blob an append blob or a page blob If the destination blob already exists it must be of the same blob type as the source blob Any existing destination blob will be overwritten The destination blob cannot be modified while a copy operation is in progress When copying from a page blob the Blob service creates a destination page blob of the source blob s length initially containing all zeroes Then the source page ranges are enumerated and non empty ranges are copied For a block blob or an append blob the Blob service creates a committed blob of zero length before returning from this operation When copying from a block blob all committed blocks and their block IDs are copied Uncommitted blocks are not copied At the end of the copy operation the destination blob will have the same committed block count as the source When copying from an append blob all committed blocks are copied At the end of the copy operation the destination blob will have the same committed block count as the source For all blob types you can call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ']
existence,existence,NOUN,NN,pobj,True,False,6,[u'Check for the existence of a storage container ', u'Check for the existence of a blob in a container ']
still,still,ADV,RB,advmod,True,False,2,[u'Deletes a job Deleting a job also deletes all tasks that are part of that job and all job statistics This also overrides the retention period for task data that is if the job contains tasks which are still retained on compute nodes the Batch services deletes those tasks working directories and all their contents When a Delete Job request is received the Batch service sets the job to the deleting state All update operations on a job that is in deleting state will fail with status code 409 Conflict with additional information indicating that the job is being deleted ', u'Deletes a job schedule from the specified account When you delete a job schedule this also deletes all jobs and tasks under that schedule When tasks are deleted all the files in their working directories on the compute nodes are also deleted the retention period is ignored The job schedule statistics are no longer accessible once the job schedule is deleted though they are still counted towards account lifetime statistics ']
before,before,ADP,IN,mark,True,False,11,[u'Gets the settings required for remote login to a compute node Before you can remotely login to a node using the remote login settings you must create a user account on the node This API can be invoked only on pools created with the virtual machine configuration property For pools created with a cloud service configuration see the GetRemoteDesktop API ', u'Retrieves one or more messages from the front of the queue but does not alter the visibility of the message Only messages that are visible may be retrieved When a message is retrieved for the first time with a call to get_messages its dequeue_count property is set to 1 If it is not deleted and is subsequently retrieved again the dequeue_count property is incremented The client may use this value to determine how many times a message has been retrieved Note that a call to peek_messages does not increment the value of DequeueCount but returns this value for the client to read If the key encryption key or resolver field is set on the local service object the messages will be decrypted before being returned ']
1,1,NUM,CD,pobj,False,False,1,[u'Retrieves one or more messages from the front of the queue but does not alter the visibility of the message Only messages that are visible may be retrieved When a message is retrieved for the first time with a call to get_messages its dequeue_count property is set to 1 If it is not deleted and is subsequently retrieved again the dequeue_count property is incremented The client may use this value to determine how many times a message has been retrieved Note that a call to peek_messages does not increment the value of DequeueCount but returns this value for the client to read If the key encryption key or resolver field is set on the local service object the messages will be decrypted before being returned ']
group,group,NOUN,NN,compound,True,False,109,[u'Delete a network security group rule ', u'Group resources into availability sets ']
cli,cli,PROPN,NNP,dobj,True,False,17,[u'Place the CLI in a waiting state until a deployment condition is met ', u'Place the CLI in a waiting state until a condition of the ExpressRoute is met ']
maps,maps,PROPN,NNPS,compound,True,False,1,[u'Manage Azure Maps account keys ']
consumergroup,consumergroup,NOUN,NNS,nmod,True,False,7,[u'Manage Azure Event Hubs namespaces eventhubs consumergroups and geo recovery configurations Alias', u'Updates the EventHub ConsumerGroup']
fix,fix,VERB,VBN,amod,True,False,1,[u'Create a fixed or recurring autoscale profile ']
durability,durability,NOUN,NN,dobj,True,False,2,[u'Manage the durability of a cluster ', u'Update the durability tier or VM SKU of a node type in the cluster ']
edge,edge,NOUN,NN,compound,True,False,3,[u'View all available CDN edge nodes ', u'Lists all the edge nodes of a CDN service ']
late,late,ADJ,JJS,amod,True,False,3,[u'Starts a rolling upgrade to move all virtual machine scale set instances to the latest available Platform Image OS version Instances which are already running the latest available OS version are not affected ', u'Starts a rolling upgrade to move all virtual machine scale set instances to the latest available Platform Image OS version Instances which are already running the latest available OS version are not affected ']
platform,platform,PROPN,NNP,compound,True,False,1,[u'Starts a rolling upgrade to move all virtual machine scale set instances to the latest available Platform Image OS version Instances which are already running the latest available OS version are not affected ']
window,window,NOUN,NNS,conj,True,False,1,[u'Creates a tag in the subscription The tag name can have a maximum of 512 characters and is case insensitive Tag names created by Azure have prefixes of microsoft azure or windows You cannot create tags with one of these prefixes ']
pend,pend,VERB,VBG,amod,True,False,4,[u'Aborts a pending copy_blob operation and leaves a destination blob with zero length and full metadata ', u' Aborts a pending copy_file operation and leaves a destination file with zero length and full metadata ']
choose,choose,VERB,VBP,relcl,True,False,4,[u'Retrieves statistics related to replication for the Queue service It is only available when read access geo redundant replication is enabled for the storage account With geo redundant replication Azure Storage maintains your data durable in two locations In both locations Azure Storage constantly maintains multiple healthy replicas of your data The location where you read create update or delete data is the primary storage account location The primary location exists in the region you choose at the time you create an account via the Azure Management Azure classic portal for example North Central US The location to which your data is replicated is the secondary location The secondary location is automatically determined based on the location of the primary it is in a second data center that resides in the same region as the primary location Read only access is available from the secondary location if read access geo redundant replication is enabled for your storage account ', u'Upgrades the operating system of the specified pool During an upgrade the Batch service upgrades each compute node in the pool When a compute node is chosen for upgrade any tasks running on that node are removed from the node and returned to the queue to be rerun later or on a different compute node The node will be unavailable until the upgrade is complete This operation results in temporarily reduced pool capacity as nodes are taken out of service to be upgraded Although the Batch service tries to avoid upgrading all compute nodes at the same time it does not guarantee to do this particularly on small pools therefore the pool may be temporarily unavailable to run tasks When this operation runs the pool state changes to upgrading When all compute nodes have finished upgrading the pool state returns to active While the upgrade is in progress the pool s currentOSVersion reflects the OS version that nodes are upgrading from and targetOSVersion reflects the OS version that nodes are upgrading to Once the upgrade is complete currentOSVersion is updated to reflect the OS version now running on all nodes This operation can only be invoked on pools created with the cloudServiceConfiguration property ']
clause,clause,NOUN,NN,dobj,True,False,2,[u'Lists the usage metrics aggregated by pool across individual time intervals for the specified account If you do not specify a filter clause including a poolId the response includes all pools that existed in the account in the time range of the returned aggregation intervals If you do not specify a filter clause including a startTime or endTime these filters default to the start and end times of the last aggregation interval currently available that is only the last aggregation interval is returned ', u'Lists the usage metrics aggregated by pool across individual time intervals for the specified account If you do not specify a filter clause including a poolId the response includes all pools that existed in the account in the time range of the returned aggregation intervals If you do not specify a filter clause including a startTime or endTime these filters default to the start and end times of the last aggregation interval currently available that is only the last aggregation interval is returned ']
policy,policy,NOUN,NN,compound,True,False,115,[u'List policy events ', u'List policy compliance states ']
cross,cross,NOUN,NN,compound,True,False,2,[u'Use an Azure Virtual Network Gateway to establish secure cross premises connectivity ', u'Manage storage service Cross Origin Resource Sharing CORS ']
image,image,NOUN,NN,compound,True,False,31,[u'List the VM image publishers available in the Azure Marketplace ', u'Manage build definitions which can be triggered by git commits or base image updates ']
409,409,NUM,CD,nummod,False,False,4,[u'Deletes a job Deleting a job also deletes all tasks that are part of that job and all job statistics This also overrides the retention period for task data that is if the job contains tasks which are still retained on compute nodes the Batch services deletes those tasks working directories and all their contents When a Delete Job request is received the Batch service sets the job to the deleting state All update operations on a job that is in deleting state will fail with status code 409 Conflict with additional information indicating that the job is being deleted ', u'Disables the specified job preventing new tasks from running The Batch Service immediately moves the job to the disabling state Batch then uses the disableTasks parameter to determine what to do with the currently running tasks of the job The job remains in the disabling state until the disable operation is completed and all tasks have been dealt with according to the disableTasks option the job then moves to the disabled state No new tasks are started under the job until it moves back to active state If you try to disable a job that is in any state other than active disabling or disabled the request fails with status code 409 ']
then,then,ADV,RB,advmod,True,False,16,[u'Deletes a task from the specified job When a task is deleted all of the files in its directory on the compute node where it ran are also deleted regardless of the retention time For multi instance tasks the delete task operation applies synchronously to the primary task subtasks and their files are then deleted asynchronously in the background ', u'Copies a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for a copy operation may be a block blob an append blob or a page blob If the destination blob already exists it must be of the same blob type as the source blob Any existing destination blob will be overwritten The destination blob cannot be modified while a copy operation is in progress When copying from a page blob the Blob service creates a destination page blob of the source blob s length initially containing all zeroes Then the source page ranges are enumerated and non empty ranges are copied For a block blob or an append blob the Blob service creates a committed blob of zero length before returning from this operation When copying from a block blob all committed blocks and their block IDs are copied Uncommitted blocks are not copied At the end of the copy operation the destination blob will have the same committed block count as the source When copying from an append blob all committed blocks are copied At the end of the copy operation the destination blob will have the same committed block count as the source For all blob types you can call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ']
non,non,ADJ,AFX,nsubjpass,True,False,1,[u'Copies a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for a copy operation may be a block blob an append blob or a page blob If the destination blob already exists it must be of the same blob type as the source blob Any existing destination blob will be overwritten The destination blob cannot be modified while a copy operation is in progress When copying from a page blob the Blob service creates a destination page blob of the source blob s length initially containing all zeroes Then the source page ranges are enumerated and non empty ranges are copied For a block blob or an append blob the Blob service creates a committed blob of zero length before returning from this operation When copying from a block blob all committed blocks and their block IDs are copied Uncommitted blocks are not copied At the end of the copy operation the destination blob will have the same committed block count as the source When copying from an append blob all committed blocks are copied At the end of the copy operation the destination blob will have the same committed block count as the source For all blob types you can call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ']
good,good,ADJ,JJS,amod,True,False,3,[u'Copies a file asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The File service copies files on a best effort basis If the destination file exists it will be overwritten The destination file cannot be modified while the copy operation is in progress ', u'Copies a blob asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The Blob service copies blobs on a best effort basis The source blob for a copy operation may be a block blob an append blob or a page blob If the destination blob already exists it must be of the same blob type as the source blob Any existing destination blob will be overwritten The destination blob cannot be modified while a copy operation is in progress When copying from a page blob the Blob service creates a destination page blob of the source blob s length initially containing all zeroes Then the source page ranges are enumerated and non empty ranges are copied For a block blob or an append blob the Blob service creates a committed blob of zero length before returning from this operation When copying from a block blob all committed blocks and their block IDs are copied Uncommitted blocks are not copied At the end of the copy operation the destination blob will have the same committed block count as the source When copying from an append blob all committed blocks are copied At the end of the copy operation the destination blob will have the same committed block count as the source For all blob types you can call get_blob_properties on the destination blob to check the status of the copy operation The final blob will be committed when the copy completes ']
return,return,VERB,VBZ,advcl,True,False,65,[u'Gets the result of evaluating an automatic scaling formula on the pool This API is primarily for validating an autoscale formula as it simply returns the result without applying the formula to the pool The pool must have auto scaling enabled in order to evaluate a formula ', u'Generates a shared access signature for the table Use the returned signature with the sas_token parameter of TableService ']
geographical,geographical,ADJ,JJ,amod,True,False,5,[u'Requests that a backup of the specified key be downloaded to the client The Key Backup operation exports a key from Azure Key Vault in a protected form Note that this operation does NOT return key material in a form that can be used outside the Azure Key Vault system the returned key material is either protected to a Azure Key Vault HSM or to Azure Key Vault itself The intent of this operation is to allow a client to GENERATE a key in one Azure Key Vault instance BACKUP the key and then RESTORE it into another Azure Key Vault instance The BACKUP operation may be used to export in protected form any key type from Azure Key Vault Individual versions of a key cannot be backed up BACKUP RESTORE can be performed within geographical boundaries only meaning that a BACKUP from one geographical area cannot be restored to another geographical area For example a backup from the US geographical area cannot be restored in an EU geographical area ', u'Requests that a backup of the specified key be downloaded to the client The Key Backup operation exports a key from Azure Key Vault in a protected form Note that this operation does NOT return key material in a form that can be used outside the Azure Key Vault system the returned key material is either protected to a Azure Key Vault HSM or to Azure Key Vault itself The intent of this operation is to allow a client to GENERATE a key in one Azure Key Vault instance BACKUP the key and then RESTORE it into another Azure Key Vault instance The BACKUP operation may be used to export in protected form any key type from Azure Key Vault Individual versions of a key cannot be backed up BACKUP RESTORE can be performed within geographical boundaries only meaning that a BACKUP from one geographical area cannot be restored to another geographical area For example a backup from the US geographical area cannot be restored in an EU geographical area ']
irreversible,irreversible,ADJ,JJ,amod,True,False,1,[u'Permanently deletes the specified deleted certificate The PurgeDeletedCertificate operation performs an irreversible deletion of the specified certificate without possibility for recovery The operation is not available if the recovery level does not specify Purgeable Requires the explicit granting of the purge permission ']
auto,auto,NOUN,NN,compound,True,False,5,[u'Gets the result of evaluating an automatic scaling formula on the pool This API is primarily for validating an autoscale formula as it simply returns the result without applying the formula to the pool The pool must have auto scaling enabled in order to evaluate a formula ', u'Configure deployment slot auto swap ']
material,material,NOUN,NN,nsubjpass,True,False,5,[u'The update key operation changes specified attributes of a stored key and can be applied to any key type and key version stored in Azure Key Vault In order to perform this operation the key must already exist in the Key Vault Note The cryptographic material of a key itself cannot be changed ', u'Requests that a backup of the specified key be downloaded to the client The Key Backup operation exports a key from Azure Key Vault in a protected form Note that this operation does NOT return key material in a form that can be used outside the Azure Key Vault system the returned key material is either protected to a Azure Key Vault HSM or to Azure Key Vault itself The intent of this operation is to allow a client to GENERATE a key in one Azure Key Vault instance BACKUP the key and then RESTORE it into another Azure Key Vault instance The BACKUP operation may be used to export in protected form any key type from Azure Key Vault Individual versions of a key cannot be backed up BACKUP RESTORE can be performed within geographical boundaries only meaning that a BACKUP from one geographical area cannot be restored to another geographical area For example a backup from the US geographical area cannot be restored in an EU geographical area ']
expressroute,expressroute,PROPN,NNP,dobj,True,False,20,[u'Manage ExpressRoute peering of an ExpressRoute circuit ', u'Manage ExpressRoute peering of an ExpressRoute circuit ']
scaling,scaling,NOUN,NN,nsubj,True,False,7,[u'Gets the result of evaluating an automatic scaling formula on the pool This API is primarily for validating an autoscale formula as it simply returns the result without applying the formula to the pool The pool must have auto scaling enabled in order to evaluate a formula ', u'Manage automatic scaling of Batch pools ']
subtask,subtask,NOUN,NNS,pobj,True,False,8,[u'Deletes a task from the specified job When a task is deleted all of the files in its directory on the compute node where it ran are also deleted regardless of the retention time For multi instance tasks the delete task operation applies synchronously to the primary task subtasks and their files are then deleted asynchronously in the background ', u'Lists all of the tasks that are associated with the specified job For multi instance tasks information such as affinityId executionInfo and nodeInfo refer to the primary task Use the list subtasks API to retrieve information about subtasks ']
not,not,ADV,RB,neg,True,False,74,[u'Copies a file asynchronously This operation returns a copy operation properties object including a copy ID you can use to check or abort the copy operation The File service copies files on a best effort basis If the destination file exists it will be overwritten The destination file cannot be modified while the copy operation is in progress ', u'Lists the available billing periods for a subscription in reverse chronological order This is only supported for Azure Web Direct subscriptions Other subscription types which were not purchased directly through the Azure web portal are not supported through this preview API ']
deprecate,deprecate,VERB,VBN,ROOT,True,False,1,[u'This group is deprecated and will be removed in CLI version 2 0 36 The command redis patch schedule patch schedule show will be replaced with redis patch schedule show ']
potential,potential,ADJ,JJ,amod,True,False,1,[u'Reboot specified Redis node s This operation requires write permission to the cache resource There can be potential data loss ']
now,now,ADV,RB,advmod,True,False,1,[u'Upgrades the operating system of the specified pool During an upgrade the Batch service upgrades each compute node in the pool When a compute node is chosen for upgrade any tasks running on that node are removed from the node and returned to the queue to be rerun later or on a different compute node The node will be unavailable until the upgrade is complete This operation results in temporarily reduced pool capacity as nodes are taken out of service to be upgraded Although the Batch service tries to avoid upgrading all compute nodes at the same time it does not guarantee to do this particularly on small pools therefore the pool may be temporarily unavailable to run tasks When this operation runs the pool state changes to upgrading When all compute nodes have finished upgrading the pool state returns to active While the upgrade is in progress the pool s currentOSVersion reflects the OS version that nodes are upgrading from and targetOSVersion reflects the OS version that nodes are upgrading to Once the upgrade is complete currentOSVersion is updated to reflect the OS version now running on all nodes This operation can only be invoked on pools created with the cloudServiceConfiguration property ']
provision,provision,VERB,VBG,compound,True,False,2,[u'List Azure IoT Hub device provisioning services ', u'Provision Linux or Windows virtual machines ']
transparent,transparent,ADJ,JJ,amod,True,False,4,[u'Gets a database s transparent data encryption configuration ', u'Manage a database s transparent data encryption ']
executioninfo,executioninfo,NOUN,NN,advmod,True,False,2,[u'Lists all of the tasks that are associated with the specified job For multi instance tasks information such as affinityId executionInfo and nodeInfo refer to the primary task Use the list subtasks API to retrieve information about subtasks ', u'Gets information about the specified task For multi instance tasks information such as affinityId executionInfo and nodeInfo refer to the primary task Use the list subtasks API to retrieve information about subtasks ']
execute,execute,VERB,VBN,pobj,True,False,7,[u'List all of the executed builds for a registry with the ability to filter by a specific build task ', u'Executes a command line on a cluster s node used to execute the job with optional ports forwarding ']
name,name,NOUN,NN,compound,True,False,54,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'check for the availability of the given name for the Namespace']
locator,locator,NOUN,NN,pobj,True,False,7,[u'List paths supported by a streaming locator ', u'Delete a Streaming Locator Deletes a Streaming Locator in the Media Services account ']
unregister,unregister,VERB,VB,ROOT,True,False,2,[u'Unregister a cloud ', u'Unregister a provider ']
config,config,NOUN,NN,compound,True,False,1,[u'Show the default config file which defines data to be collected ']
functionapp,functionapp,NOUN,NN,poss,True,False,3,[u' PREVIEW display functionapp s managed service identity', u' PREVIEW manage functionapp s managed service identity']
merge,merge,VERB,VBZ,ROOT,True,False,3,[u'Merges a certificate or a certificate chain with a key pair existing on the server The MergeCertificate operation performs the merging of a certificate or certificate chain with a key pair currently available in the service Authorization requires the certificates update permission ', u'Updates an existing entity by merging the entity s properties Throws if the entity does not exist This operation does not replace the existing entity as the update_entity operation does A property cannot be removed with merge_entity Any properties with null values are ignored All other properties will be updated or added ']
token,token,NOUN,NN,ROOT,True,False,7,[u'Update source control token cached in Azure app service If no token is provided the command will clean up existing token ', u'Update source control token cached in Azure app service If no token is provided the command will clean up existing token ']
mode,mode,NOUN,NN,pobj,True,False,3,[u'Synchronize from the repository Only needed under manual integration mode ', u'Synchronize from the repository Only needed under manual integration mode ']
timeout,timeout,NOUN,NN,nsubj,True,False,5,[u'Adds a new message to the back of the message queue The visibility timeout specifies the time that the message will be invisible After the timeout expires the message will become visible If a visibility timeout is not specified the default value of 0 is used The message time to live specifies how long a message will remain in the queue The message will be deleted from the queue when the time to live period expires If the key encryption key field is set on the local service object this method will encrypt the content before uploading ', u'Adds a new message to the back of the message queue The visibility timeout specifies the time that the message will be invisible After the timeout expires the message will become visible If a visibility timeout is not specified the default value of 0 is used The message time to live specifies how long a message will remain in the queue The message will be deleted from the queue when the time to live period expires If the key encryption key field is set on the local service object this method will encrypt the content before uploading ']
each,each,DET,DT,det,True,False,8,[u'Gets a list of SKUs available for your VM scale set including the minimum and maximum VM instances allowed for each SKU ', u'Upgrades the operating system of the specified pool During an upgrade the Batch service upgrades each compute node in the pool When a compute node is chosen for upgrade any tasks running on that node are removed from the node and returned to the queue to be rerun later or on a different compute node The node will be unavailable until the upgrade is complete This operation results in temporarily reduced pool capacity as nodes are taken out of service to be upgraded Although the Batch service tries to avoid upgrading all compute nodes at the same time it does not guarantee to do this particularly on small pools therefore the pool may be temporarily unavailable to run tasks When this operation runs the pool state changes to upgrading When all compute nodes have finished upgrading the pool state returns to active While the upgrade is in progress the pool s currentOSVersion reflects the OS version that nodes are upgrading from and targetOSVersion reflects the OS version that nodes are upgrading to Once the upgrade is complete currentOSVersion is updated to reflect the OS version now running on all nodes This operation can only be invoked on pools created with the cloudServiceConfiguration property ']
debug,debug,VERB,VBG,pcomp,True,False,1,[u'Upload Azure Batch service log files from the specified compute node to Azure Blob Storage This is for gathering Azure Batch service log files in an automated fashion from nodes if you are experiencing an error and wish to escalate to Azure support The Azure Batch service log files should be shared with Azure support to aid in debugging issues with the Batch service ']
identifier,identifier,NOUN,NN,compound,True,False,7,[u'Retrieves a list of individual key versions with the same key name The full key identifier attributes and tags are provided in the response ', u'List the versions of the specified secret The LIST VERSIONS operation can be applied to all versions having the same secret name in the same key vault The full secret identifier and attributes are provided in the response No values are returned for the secrets and only current versions of a secret are listed ']
mean,mean,VERB,VBG,advcl,True,False,2,[u'Requests that a backup of the specified key be downloaded to the client The Key Backup operation exports a key from Azure Key Vault in a protected form Note that this operation does NOT return key material in a form that can be used outside the Azure Key Vault system the returned key material is either protected to a Azure Key Vault HSM or to Azure Key Vault itself The intent of this operation is to allow a client to GENERATE a key in one Azure Key Vault instance BACKUP the key and then RESTORE it into another Azure Key Vault instance The BACKUP operation may be used to export in protected form any key type from Azure Key Vault Individual versions of a key cannot be backed up BACKUP RESTORE can be performed within geographical boundaries only meaning that a BACKUP from one geographical area cannot be restored to another geographical area For example a backup from the US geographical area cannot be restored in an EU geographical area ', u'Deletes a key of any type from storage in Azure Key Vault The delete key operation cannot be used to remove individual versions of a key This operation removes the cryptographic material associated with the key which means the key is not usable for Sign Verify Wrap Unwrap or Encrypt Decrypt operations ']
domain,domain,NOUN,NNS,dobj,True,False,8,[u'Manage DNS domains in Azure ', u'Delete the custom domain of a CDN ']
activate,activate,VERB,VBZ,ROOT,True,False,2,[u'Activates a Batch application package ', u'Create a Batch application package record and activate it ']
retrieve,retrieve,VERB,VB,ROOT,True,False,56,[u'Retrieve the remote desktop protocol file for a Batch compute node ', u'Retrieve service diagnostic settings categories ']
directly,directly,ADV,RB,advmod,True,False,2,[u'Lists the available billing periods for a subscription in reverse chronological order This is only supported for Azure Web Direct subscriptions Other subscription types which were not purchased directly through the Azure web portal are not supported through this preview API ', u'Gets a named billing period This is only supported for Azure Web Direct subscriptions Other subscription types which were not purchased directly through the Azure web portal are not supported through this preview API ']
map,map,NOUN,NN,pobj,True,False,19,[u'Get the details of a URL path map ', u'Delete a rule of a URL path map ']
there,there,ADV,EX,expl,True,False,2,[u'Reboot specified Redis node s This operation requires write permission to the cache resource There can be potential data loss ', u'Terminates the specified job marking it as completed When a Terminate Job request is received the Batch service sets the job to the terminating state The Batch service then terminates any running tasks associated with the job and runs any required job release tasks Then the job moves into the completed state If there are any tasks in the job in the active state they will remain in the active state Once a job is terminated new tasks cannot be added and any remaining active tasks will not be scheduled ']
reduce,reduce,VERB,VBN,amod,True,False,1,[u'Upgrades the operating system of the specified pool During an upgrade the Batch service upgrades each compute node in the pool When a compute node is chosen for upgrade any tasks running on that node are removed from the node and returned to the queue to be rerun later or on a different compute node The node will be unavailable until the upgrade is complete This operation results in temporarily reduced pool capacity as nodes are taken out of service to be upgraded Although the Batch service tries to avoid upgrading all compute nodes at the same time it does not guarantee to do this particularly on small pools therefore the pool may be temporarily unavailable to run tasks When this operation runs the pool state changes to upgrading When all compute nodes have finished upgrading the pool state returns to active While the upgrade is in progress the pool s currentOSVersion reflects the OS version that nodes are upgrading from and targetOSVersion reflects the OS version that nodes are upgrading to Once the upgrade is complete currentOSVersion is updated to reflect the OS version now running on all nodes This operation can only be invoked on pools created with the cloudServiceConfiguration property ']
related,related,ADJ,JJ,amod,True,False,1,[u'Get details for compute related resource SKUs ']
